TITLE="vgrid_n=25Re=100.dat" VARIABLES="x", "y", "v" ZONE T="vgrid_n=25Re=100.dat" I=23 J=22 F=POINT
8.0434782609e-01, 5.2173913043e-01, -2.6570583541e-01,
8.4782608696e-01, 5.2173913043e-01, -2.6369006938e-01,
8.9130434783e-01, 5.2173913043e-01, -2.2434621089e-01,
9.3478260870e-01, 5.2173913043e-01, -1.4861623923e-01,
9.7826086957e-01, 5.2173913043e-01, -5.0267757153e-02,
2.1739130435e-02, 5.6521739130e-01, 4.5652043516e-02,
6.5217391304e-02, 5.6521739130e-01, 1.1160834902e-01,
1.0869565217e-01, 5.6521739130e-01, 1.5587789317e-01,
1.5217391304e-01, 5.6521739130e-01, 1.8287693295e-01,
1.9565217391e-01, 5.6521739130e-01, 1.9675329817e-01,
2.3913043478e-01, 5.6521739130e-01, 2.0077467885e-01,
2.8260869565e-01, 5.6521739130e-01, 1.9712079635e-01,
3.2608695652e-01, 5.6521739130e-01, 1.8696213311e-01,
3.6956521739e-01, 5.6521739130e-01, 1.7068287103e-01,
4.1304347826e-01, 5.6521739130e-01, 1.4813788268e-01,
4.5652173913e-01, 5.6521739130e-01, 1.1888758481e-01,
5.0000000000e-01, 5.6521739130e-01, 8.2403786817e-02,
5.4347826087e-01, 5.6521739130e-01, 3.8273079710e-02,
5.8695652174e-01, 5.6521739130e-01, -1.3554177957e-02,
6.3043478261e-01, 5.6521739130e-01, -7.2404055613e-02,
6.7391304348e-01, 5.6521739130e-01, -1.3633100623e-01,
7.1739130435e-01, 5.6521739130e-01, -2.0132085079e-01,
7.6086956522e-01, 5.6521739130e-01, -2.6029417223e-01,
8.0434782609e-01, 5.6521739130e-01, -3.0228427704e-01,
8.4782608696e-01, 5.6521739130e-01, -3.1285069686e-01,
8.9130434783e-01, 5.6521739130e-01, -2.7774330202e-01,
9.3478260870e-01, 5.6521739130e-01, -1.9161682657e-01,
9.7826086957e-01, 5.6521739130e-01, -6.7611564353e-02,
2.1739130435e-02, 6.0869565217e-01, 5.0160310709e-02,
6.5217391304e-02, 6.0869565217e-01, 1.2246215664e-01,
1.0869565217e-01, 6.0869565217e-01, 1.7044278596e-01,
1.5217391304e-01, 6.0869565217e-01, 1.9908632784e-01,
1.9565217391e-01, 6.0869565217e-01, 2.1326152024e-01,
2.3913043478e-01, 6.0869565217e-01, 2.1687865735e-01,
2.8260869565e-01, 6.0869565217e-01, 2.1259397506e-01,
3.2608695652e-01, 6.0869565217e-01, 2.0188446250e-01,
3.6956521739e-01, 6.0869565217e-01, 1.8529744948e-01,
4.1304347826e-01, 6.0869565217e-01, 1.6273404154e-01,
4.5652173913e-01, 6.0869565217e-01, 1.3369696647e-01,
5.0000000000e-01, 6.0869565217e-01, 9.7490828683e-02,
5.4347826087e-01, 6.0869565217e-01, 5.3399291994e-02,
5.8695652174e-01, 6.0869565217e-01, 8.8884257335e-04,
6.3043478261e-01, 6.0869565217e-01, -6.0083029485e-02,
6.7391304348e-01, 6.0869565217e-01, -1.2853811152e-01,
7.1739130435e-01, 6.0869565217e-01, -2.0157189682e-01,
7.6086956522e-01, 6.0869565217e-01, -2.7294763052e-01,
8.0434782609e-01, 6.0869565217e-01, -3.3133157780e-01,
8.4782608696e-01, 6.0869565217e-01, -3.5913905114e-01,
8.9130434783e-01, 6.0869565217e-01, -3.3469857794e-01,
9.3478260870e-01, 6.0869565217e-01, -2.4227274700e-01,
9.7826086957e-01, 6.0869565217e-01, -8.9694648747e-02,
2.1739130435e-02, 6.5217391304e-01, 5.4582945636e-02,
6.5217391304e-02, 6.5217391304e-01, 1.3284742171e-01,
