TITLE="Solution_n=50Re=100.txt" VARIABLES="x", "y", "u", "v", "p" ZONE T="Solution_n=50Re=100.txt" I=48 J=48 F=POINT
7.2916666667e-02, 7.1875000000e-01, -1.3406367284e-02, 1.6532258883e-01, -3.3058259960e-02
7.2916666667e-02, 7.3958333333e-01, -1.5871302819e-02, 1.7167913625e-01, -3.6293531831e-02
7.2916666667e-02, 7.6041666667e-01, -1.8970640050e-02, 1.7908985972e-01, -4.1201538992e-02
7.2916666667e-02, 7.8125000000e-01, -2.3897086768e-02, 1.8721025006e-01, -4.5565520084e-02
7.2916666667e-02, 8.0208333333e-01, -2.9679983992e-02, 1.9698470743e-01, -5.0905949061e-02
7.2916666667e-02, 8.2291666667e-01, -3.8452921616e-02, 2.0774319497e-01, -5.6948616220e-02
7.2916666667e-02, 8.4375000000e-01, -4.7694536031e-02, 2.2018185592e-01, -6.3370425005e-02
7.2916666667e-02, 8.6458333333e-01, -6.0971773084e-02, 2.3281862633e-01, -7.1408186353e-02
7.2916666667e-02, 8.8541666667e-01, -7.0696776508e-02, 2.4412536614e-01, -8.0275277775e-02
7.2916666667e-02, 9.0625000000e-01, -8.0585455407e-02, 2.5081236299e-01, -8.8260788634e-02
7.2916666667e-02, 9.2708333333e-01, -6.4121663135e-02, 2.4257526821e-01, -1.0186325548e-01
7.2916666667e-02, 9.4791666667e-01, -9.0683876909e-03, 2.1526715272e-01, -9.6201660674e-02
7.2916666667e-02, 9.6875000000e-01, 1.8384052695e-01, 1.3790094785e-01, -1.1495426452e-01
7.2916666667e-02, 9.8958333333e-01, 6.0174344257e-01, 4.5562763632e-02, -3.8112445483e-02
9.3750000000e-02, 1.0416666667e-02, -1.5840671795e-04, -1.9921863485e-05, 1.3536572481e-02
9.3750000000e-02, 3.1250000000e-02, -1.0488539588e-03, 4.5928179251e-04, 1.4030694017e-02
9.3750000000e-02, 5.2083333333e-02, -2.2207822955e-03, 1.3412529979e-03, 1.3911589900e-02
9.3750000000e-02, 7.2916666667e-02, -3.6286815209e-03, 2.8043637434e-03, 1.4554394193e-02
9.3750000000e-02, 9.3750000000e-02, -5.0947689370e-03, 4.7235584369e-03, 1.4288430319e-02
9.3750000000e-02, 1.1458333333e-01, -6.6172320608e-03, 7.2514890785e-03, 1.5029331008e-02
9.3750000000e-02, 1.3541666667e-01, -8.1061007486e-03, 1.0251339333e-02, 1.4569506305e-02
9.3750000000e-02, 1.5625000000e-01, -9.5789096173e-03, 1.3849669527e-02, 1.5339598500e-02
9.3750000000e-02, 1.7708333333e-01, -1.0982449994e-02, 1.7904061534e-02, 1.4631044454e-02
9.3750000000e-02, 1.9791666667e-01, -1.2338715909e-02, 2.2521138654e-02, 1.5357548555e-02
9.3750000000e-02, 2.1875000000e-01, -1.3606622811e-02, 2.7557546159e-02, 1.4344673475e-02
9.3750000000e-02, 2.3958333333e-01, -1.4808660263e-02, 3.3103410265e-02, 1.4956350813e-02
9.3750000000e-02, 2.6041666667e-01, -1.5904899923e-02, 3.9016748863e-02, 1.3587325981e-02
9.3750000000e-02, 2.8125000000e-01, -1.6919173517e-02, 4.5371617238e-02, 1.4017185494e-02
9.3750000000e-02, 3.0208333333e-01, -1.7807958184e-02, 5.2028789433e-02, 1.2247845899e-02
9.3750000000e-02, 3.2291666667e-01, -1.8599381806e-02, 5.9045010103e-02, 1.2435633841e-02
9.3750000000e-02, 3.4375000000e-01, -1.9244374104e-02, 6.6285651335e-02, 1.0233680291e-02
9.3750000000e-02, 3.6458333333e-01, -1.9779571731e-02, 7.3788402180e-02, 1.0128653597e-02
9.3750000000e-02, 3.8541666667e-01, -2.0149564766e-02, 8.1426567841e-02, 7.4781196936e-03
9.3750000000e-02, 4.0625000000e-01, -2.0404876917e-02, 8.9217261148e-02, 7.0415934534e-03
9.3750000000e-02, 4.2708333333e-01, -2.0483105634e-02, 9.7047358756e-02, 3.9469644389e-03
9.3750000000e-02, 4.4791666667e-01, -2.0455455818e-02, 1.0491242661e-01, 3.1535477624e-03
9.3750000000e-02, 4.6875000000e-01, -2.0251091450e-02, 1.1272156467e-01, -3.5740702496e-04
9.3750000000e-02, 4.8958333333e-01, -1.9970707054e-02, 1.2044829341e-01, -1.5213115958e-03
9.3750000000e-02, 5.1041666667e-01, -1.9531741806e-02, 1.2803631217e-01, -5.3970062752e-03
9.3750000000e-02, 5.3125000000e-01, -1.9076447487e-02, 1.3543654034e-01, -6.9390108158e-03
9.3750000000e-02, 5.5208333333e-01, -1.8504045117e-02, 1.4264420856e-01, -1.1106633455e-02
9.3750000000e-02, 5.7291666667e-01, -1.8016153189e-02, 1.4958595201e-01, -1.3040075098e-02
9.3750000000e-02, 5.9375000000e-01, -1.7482149193e-02, 1.5633110434e-01, -1.7411756002e-02
9.3750000000e-02, 6.1458333333e-01, -1.7191246678e-02, 1.6277739591e-01, -1.9775027789e-02
9.3750000000e-02, 6.3541666667e-01, -1.6962875790e-02, 1.6909774926e-01, -2.4257810034e-02
9.3750000000e-02, 6.5625000000e-01, -1.7220737407e-02, 1.7515032947e-01, -2.7143678967e-02
9.3750000000e-02, 6.7708333333e-01, -1.7698508732e-02, 1.8124846512e-01, -3.1654146346e-02
9.3750000000e-02, 6.9791666667e-01, -1.9033171078e-02, 1.8718807575e-01, -3.5253135529e-02
9.3750000000e-02, 7.1875000000e-01, -2.0802869981e-02, 1.9346198037e-01, -3.9740636583e-02
9.3750000000e-02, 7.3958333333e-01, -2.3985743463e-02, 1.9975603723e-01, -4.4405214750e-02
9.3750000000e-02, 7.6041666667e-01, -2.7850063186e-02, 2.0675701594e-01, -4.8896727543e-02
9.3750000000e-02, 7.8125000000e-01, -3.3897477533e-02, 2.1393724027e-01, -5.5231593882e-02
9.3750000000e-02, 8.0208333333e-01, -4.0698548600e-02, 2.2206570089e-01, -5.9932945364e-02
9.3750000000e-02, 8.2291666667e-01, -5.0422773923e-02, 2.3017516982e-01, -6.8878023511e-02
9.3750000000e-02, 8.4375000000e-01, -5.9854435847e-02, 2.3854438598e-01, -7.4399000000e-02
9.3750000000e-02, 8.6458333333e-01, -7.1338908403e-02, 2.4531819366e-01, -8.7024843489e-02
9.3750000000e-02, 8.8541666667e-01, -7.6508613638e-02, 2.4828668580e-01, -9.4735390160e-02
9.3750000000e-02, 9.0625000000e-01, -7.3853002811e-02, 2.4425818975e-01, -1.1028558721e-01
9.3750000000e-02, 9.2708333333e-01, -3.8716078339e-02, 2.2320673772e-01, -1.2202316994e-01
9.3750000000e-02, 9.4791666667e-01, 5.2770959802e-02, 1.8412562532e-01, -1.2863838848e-01
9.3750000000e-02, 9.6875000000e-01, 2.7169440207e-01, 1.0474699304e-01, -1.4195661451e-01
9.3750000000e-02, 9.8958333333e-01, 6.8717048055e-01, 2.7356043917e-02, -9.0675411766e-02
1.1458333333e-01, 1.0416666667e-02, -3.0325122060e-04, -7.5819127663e-06, 1.4761917573e-02
1.1458333333e-01, 3.1250000000e-02, -1.6734919558e-03, 6.2299309847e-04, 1.5379591388e-02
1.1458333333e-01, 5.2083333333e-02, -3.3742152637e-03, 1.7685316514e-03, 1.5229327972e-02
1.1458333333e-01, 7.2916666667e-02, -5.3277887588e-03, 3.5614489722e-03, 1.5942301950e-02
1.1458333333e-01, 9.3750000000e-02, -7.3509884319e-03, 5.8728887076e-03, 1.5621389974e-02
1.1458333333e-01, 1.1458333333e-01, -9.4305309005e-03, 8.8393584845e-03, 1.6413649373e-02
1.1458333333e-01, 1.3541666667e-01, -1.1473707570e-02, 1.2322173795e-02, 1.5885978954e-02
1.1458333333e-01, 1.5625000000e-01, -1.3486306525e-02, 1.6445768729e-02, 1.6714481346e-02
1.1458333333e-01, 1.7708333333e-01, -1.5416363924e-02, 2.1063558712e-02, 1.5933992017e-02
1.1458333333e-01, 1.9791666667e-01, -1.7273133099e-02, 2.6286289163e-02, 1.6743594750e-02
1.1458333333e-01, 2.1875000000e-01, -1.9020865605e-02, 3.1962993221e-02, 1.5660117700e-02
1.1458333333e-01, 2.3958333333e-01, -2.0667178092e-02, 3.8191086879e-02, 1.6391758060e-02
