TITLE="Solution_n=51_Re=100_BCM=1_CM=2_U=0.10.dat" VARIABLES="x", "y", "u", "v", "vmag", "omegaxy", "vortz" ZONE T="Solution_n=51_Re=100_BCM=1_CM=2_U=0.10.dat" I=51 J=51 F=POINT
0.0600000000, 0.8800000000, -0.0463626726, 0.2094207560, 0.0214491376, 0.0000653285, -62.7471495160
0.0600000000, 0.9000000000, -0.0523521641, 0.2216794003, 0.0227777316, 0.0000281642, -90.9431222232
0.0600000000, 0.9200000000, -0.0482780905, 0.2246735398, 0.0229802031, 0.0000199428, -148.0534307046
0.0600000000, 0.9400000000, -0.0093088846, 0.2036208347, 0.0203833510, 0.0001955731, -269.4010396850
0.0600000000, 0.9600000000, 0.1246184197, 0.1452304902, 0.0191367829, 0.0008016878, -510.4236416504
0.0600000000, 0.9800000000, 0.4557888762, 0.0600693979, 0.0459730173, 0.0020178241, -575.0992323683
0.0600000000, 1.0000000000, 1.0000000000, 0.0000000000, 0.1000000000, 0.0030498669, -532.6016681116
0.0800000000, 0.0000000000, -0.0000000000, -0.0000000000, 0.0000000000, 0.0000759773, -1.4655567168
0.0800000000, 0.0200000000, -0.0000903507, -0.0007435821, 0.0000749051, 0.0000383485, -13.4026213179
0.0800000000, 0.0400000000, 0.0004055213, 0.0005292156, 0.0000666721, 0.0000001147, -0.8052995731
0.0800000000, 0.0600000000, 0.0005429112, 0.0025825678, 0.0002639017, -0.0000088912, 7.6603981900
0.0800000000, 0.0800000000, -0.0011193158, 0.0041260089, 0.0004275139, -0.0000042672, 0.0208807415
0.0800000000, 0.1000000000, -0.0026285018, 0.0055789878, 0.0006167181, -0.0000016550, -1.3226874231
0.0800000000, 0.1200000000, -0.0038849914, 0.0073966547, 0.0008354858, 0.0000020094, -0.7890287951
0.0800000000, 0.1400000000, -0.0050502414, 0.0096744578, 0.0010913298, 0.0000053146, -0.7885057128
0.0800000000, 0.1600000000, -0.0061370687, 0.0123818507, 0.0013819329, 0.0000083630, -0.9373905905
0.0800000000, 0.1800000000, -0.0071545736, 0.0154980755, 0.0017069806, 0.0000116978, -1.1507022901
0.0800000000, 0.2000000000, -0.0081008810, 0.0190085707, 0.0020662769, 0.0000152468, -1.3989487210
0.0800000000, 0.2200000000, -0.0089753885, 0.0228948289, 0.0024591275, 0.0000189738, -1.6845747881
0.0800000000, 0.2400000000, -0.0097798064, 0.0271340551, 0.0028842704, 0.0000229027, -2.0171655871
0.0800000000, 0.2600000000, -0.0105141460, 0.0317006095, 0.0033398741, 0.0000270382, -2.3926305844
