TITLE="Solution_n=29_m=29_Re=400_BCM=0_CM=2_G=1.00_U=0.10.dat" VARIABLES="x", "y", "u", "v", "vmag", "omegaxy", "vortz" ZONE T="Solution_n=29_m=29_Re=400_BCM=0_CM=2_G=1.00_U=0.10.dat" I=29 J=29 F=POINT
0.9137931034, 0.2241379310, -0.0025303826, 0.0019752366, 0.0003210046, 0.0000014116, 0.1705904590
0.9482758621, 0.2241379310, -0.0006941152, 0.0040366895, 0.0004095932, -0.0000005207, 0.0238052385
0.9827586207, 0.2241379310, -0.0000735897, 0.0020786731, 0.0002079975, -0.0000029907, -0.1117468706
0.0172413793, 0.2586206897, -0.0020303003, 0.0223854914, 0.0022477374, 0.0000321470, 1.2356511371
0.0517241379, 0.2586206897, -0.0131584391, 0.0563249808, 0.0057841577, 0.0000158876, 0.7762376298
0.0862068966, 0.2586206897, -0.0309237869, 0.0733225615, 0.0079576872, 0.0000054522, 0.4358436366
0.1206896552, 0.2586206897, -0.0511766047, 0.0801783486, 0.0095118938, -0.0000016775, 0.2509126636
0.1551724138, 0.2586206897, -0.0716914731, 0.0804155016, 0.0107732633, -0.0000070228, 0.1356199486
0.1896551724, 0.2586206897, -0.0912156811, 0.0755402852, 0.0118434096, -0.0000116679, 0.0397888299
0.2241379310, 0.2586206897, -0.1087516616, 0.0659964824, 0.0127210297, -0.0000159107, -0.0523663496
0.2586206897, 0.2586206897, -0.1233332766, 0.0524843715, 0.0134036213, -0.0000191356, -0.1243742741
0.2931034483, 0.2586206897, -0.1341262874, 0.0364112491, 0.0138980718, -0.0000212518, -0.1589574452
0.3275862069, 0.2586206897, -0.1406510810, 0.0191084936, 0.0141943162, -0.0000224150, -0.1572906571
0.3620689655, 0.2586206897, -0.1428803431, 0.0018274959, 0.0142892030, -0.0000220155, -0.1260514205
0.3965517241, 0.2586206897, -0.1412370767, -0.0138648132, 0.0141915978, -0.0000197854, -0.0678034332
0.4310344828, 0.2586206897, -0.1366811650, -0.0264695187, 0.0139220603, -0.0000165383, 0.0162329765
0.4655172414, 0.2586206897, -0.1306779428, -0.0352643157, 0.0135352491, -0.0000136680, 0.1143182749
0.5000000000, 0.2586206897, -0.1245690234, -0.0409979546, 0.0131142190, -0.0000127069, 0.2098571673
0.5344827586, 0.2586206897, -0.1187440148, -0.0452539616, 0.0127075025, -0.0000136745, 0.3050391960
0.5689655172, 0.2586206897, -0.1126466380, -0.0487348272, 0.0122736907, -0.0000149722, 0.4068234962
0.6034482759, 0.2586206897, -0.1054806355, -0.0513237903, 0.0117304288, -0.0000159813, 0.5056000146
0.6379310345, 0.2586206897, -0.0966067175, -0.0528682019, 0.0110126766, -0.0000162785, 0.5932069036
0.6724137931, 0.2586206897, -0.0857476786, -0.0528539929, 0.0100728392, -0.0000152453, 0.6681159209
0.7068965517, 0.2586206897, -0.0731103441, -0.0506171368, 0.0088922533, -0.0000129612, 0.7200643583
0.7413793103, 0.2586206897, -0.0592620787, -0.0458589321, 0.0074933541, -0.0000096429, 0.7360841267
0.7758620690, 0.2586206897, -0.0450720964, -0.0386684001, 0.0059386354, -0.0000057428, 0.7119739342
0.8103448276, 0.2586206897, -0.0316491423, -0.0295245072, 0.0043282384, -0.0000019260, 0.6494356821
0.8448275862, 0.2586206897, -0.0200691859, -0.0193487799, 0.0027877365, 0.0000011130, 0.5498741683
0.8793103448, 0.2586206897, -0.0110705101, -0.0095219896, 0.0014602208, 0.0000027672, 0.4164761121
0.9137931034, 0.2586206897, -0.0049692788, -0.0016647015, 0.0005240702, 0.0000026790, 0.2541777452
0.9482758621, 0.2586206897, -0.0015881049, 0.0023890877, 0.0002868766, 0.0000004426, 0.0776560875
